全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,多目的トイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬・聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考,元データID,施設分類,調査年度,公式掲載区分,公式掲載確認日,座標取得元,座標取得URL,データ提供者,OSM照合状態,OSM要素種別,OSM_ID,OSM名称,OSM_URL,OSM距離_m,OSM主要分類,OSM住所,OSM営業時間,OSM電話番号,OSMウェブサイト,OSM車椅子対応,OSM運営者,OSM最終更新日時,OSM照合日,OSM照合根拠
111007,ACS0013,埼玉県さいたま市,space845,,,,,,,111104,,埼玉県さいたま市岩槻区大口６３９−１,埼玉県,さいたま市岩槻区,,,,35.94558,139.745621,,,,,,,,,,,,,,,この絶対的開放感で心が解放される場所,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/space845/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,13,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%B2%A9%E6%A7%BB%E5%8C%BA%E5%A4%A7%E5%8F%A3%EF%BC%96%EF%BC%93%EF%BC%99%E2%88%92%EF%BC%91,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0014,埼玉県さいたま市,つきのみちくさ,,,,,,,111074,,埼玉県さいたま市浦和区岸町4-18-11-1,埼玉県,さいたま市浦和区,,,,35.854198,139.656723,,,,,,,,,,,,,,,浦和の歴史的な小道で木の温もりを感じる自由な空間,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/atelier-ring/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,14,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B2%B8%E7%94%BA4-18-11-1,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0015,埼玉県さいたま市,ファーム・インさぎ山,,,,,,,111091,,埼玉県さいたま市緑区上野田282,埼玉県,さいたま市緑区,,,,35.905094,139.701782,,,,,,,,,,,,,,,数百年続く見沼の農を未来へ　農業体験、食育、「野良の藝術」に開かれた場,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/sagiyama/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,15,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E7%B7%91%E5%8C%BA%E4%B8%8A%E9%87%8E%E7%94%B0282,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0016,埼玉県さいたま市,Blue Bird Cafe & Atelier Blue Bird,,,,,,,111031,,埼玉県さいたま市大宮区寿能町1-16-11,埼玉県,さいたま市大宮区,,,,35.921917,139.630676,,,,,,,,,,,,,,,音楽とアートで心穏やかに、こだわりの食材で体安らぐ氷川の杜近くのアトリエカフェ,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/blue-bird-cafe-atelier-blue-bird/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,16,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E5%AF%BF%E8%83%BD%E7%94%BA1-16-11,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0017,埼玉県さいたま市,ブロックはかせ．LABO,,,,,,,111074,,埼玉県さいたま市浦和区常盤9-11-12 2F,埼玉県,さいたま市浦和区,,,,35.869534,139.645767,,,,,,,,,,,,,,,おもちゃがつくりだす、子どもたちの居場所,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/blockhakase-labo/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,17,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B8%B8%E7%9B%A49-11-12%202F,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,推定一致,node,10744451701,おもちゃカフェ ブロックはかせ.Labo,https://www.openstreetmap.org/node/10744451701,12,amenity=cafe,,,,,,,2023-03-19T02:10:33Z,2026-08-02,主要名「ブロックはかせ.Labo」が一致し、座標も近接（12m）
111007,ACS0018,埼玉県さいたま市,ヘルシーカフェのら,,,,,,,111082,,埼玉県さいたま市南区鹿手袋7−3−2,埼玉県,さいたま市南区,,,,35.847561,139.636307,,,,,,,,,,,,,,,のらにあつまる地域のあれこれ。野菜と温もりとイマジネーション!!,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/healthy-cafe-nora/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,18,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E9%B9%BF%E6%89%8B%E8%A2%8B7%E2%88%923%E2%88%922,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,一致,way,778807058,ヘルシーカフェのら,https://www.openstreetmap.org/way/778807058,12,amenity=restaurant;building=yes,,Tu-Su 11:00-17:00,,https://healthy-cafe-nora.jimdofree.com/,,,2020-12-28T06:36:30Z,2026-08-02,名称が一致し、座標も近接（12m）
111007,ACS0019,埼玉県さいたま市,マーブルテラス,,,,,,,111074,,埼玉県さいたま市浦和区常盤10−21−9コミューンときわ1階,埼玉県,さいたま市浦和区,,,,35.872196,139.63797,,,,,,,,,,,,,,,まぜこせをテーマに、素敵なクッキーと交流に出会える場所,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/marble-terrace/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,19,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B8%B8%E7%9B%A410%E2%88%9221%E2%88%929%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%BC%E3%83%B3%E3%81%A8%E3%81%8D%E3%82%8F1%E9%9A%8E,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,一致,node,7325685803,マーブルテラス,https://www.openstreetmap.org/node/7325685803,8,amenity=cafe,,We-Su 11:00-17:00,+81 48 717 1689,,,,2026-06-07T06:59:11Z,2026-08-02,名称が一致し、座標も近接（8m）
111007,ACS0020,埼玉県さいたま市,路地裏Garage Market,,,,,,,111058,,埼玉県さいたま市中央区鈴谷7-7-3,埼玉県,さいたま市中央区,,,,35.874737,139.624374,,,,,,,,,,,,,,,若者たちの魅力が湧き溢れる「パワースポット」楽しい発信ひろば・交流ひろば基地,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/rojiuragarage-market/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,20,アート資源,令和3年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%88%B4%E8%B0%B77-7-3,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,一致,node,12046978099,路地裏Garage Market,https://www.openstreetmap.org/node/12046978099,16,amenity=marketplace,,,,,,,2024-07-11T02:18:58Z,2026-08-02,名称が一致し、店舗POIを採用（16m）
111007,ACS0021,埼玉県さいたま市,ギャラリー＆カフェ エソラⅡ,,,,,,,111040,,埼玉県さいたま市見沼区東新井588-1,埼玉県,さいたま市見沼区,,,,35.909077,139.660172,,,,,,,,,,,,,,,伝説の文化サロンを見沼で引き継ぐ,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/esora2/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,21,アート資源,令和4年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E8%A6%8B%E6%B2%BC%E5%8C%BA%E6%9D%B1%E6%96%B0%E4%BA%95588-1,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0022,埼玉県さいたま市,ギャラリー樟楠（kusu kusu）,,,,,,,111031,,埼玉県さいたま市大宮区北袋町1-147,埼玉県,さいたま市大宮区,,,,35.895786,139.639771,,,,,,,,,,,,,,,「クスっ」っと笑ってしまう!こだわりの空間,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/kusu-kusu/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,22,アート資源,令和4年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E5%8C%97%E8%A2%8B%E7%94%BA1-147,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
