全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,多目的トイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬・聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像ライセンス,備考,元データID,施設分類,調査年度,公式掲載区分,公式掲載確認日,座標取得元,座標取得URL,データ提供者,OSM照合状態,OSM要素種別,OSM_ID,OSM名称,OSM_URL,OSM距離_m,OSM主要分類,OSM住所,OSM営業時間,OSM電話番号,OSMウェブサイト,OSM車椅子対応,OSM運営者,OSM最終更新日時,OSM照合日,OSM照合根拠
111007,ACS0023,埼玉県さいたま市,ギャラリー健,,,,,,,111082,,埼玉県さいたま市南区関1-1-3,埼玉県,さいたま市南区,,,,35.853062,139.637573,,,,,,,,,,,,,,,創作好きな2歳～90歳の方々が楽しく学んでいる彫刻工房・陶芸工房・絵画教室に併設された「ギャラリー」,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/galleryken/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,23,アート資源,令和4年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E9%96%A21-1-3,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0024,埼玉県さいたま市,木力館,,,,,,,111104,,埼玉県さいたま市岩槻区新方須賀558-2,埼玉県,さいたま市岩槻区,,,,35.929798,139.737305,,,,,,,,,,,,,,,岩槻にある木の博物館、木の情報発信基,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/wood-power/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,24,アート資源,令和4年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%B2%A9%E6%A7%BB%E5%8C%BA%E6%96%B0%E6%96%B9%E9%A0%88%E8%B3%80558-2,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0025,埼玉県さいたま市,彩光舎,,,,,,,111074,,埼玉県さいたま市浦和区岸町6-2-1,埼玉県,さいたま市浦和区,,,,35.852848,139.654984,,,,,,,,,,,,,,,さいたま市の美術予備校・絵画教室・ギャラリー・画材販売を運営しているマルチな美術研究所,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/gallery-saikousha/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,25,アート資源,令和4年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B2%B8%E7%94%BA6-2-1,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0026,埼玉県さいたま市,社会福祉法人みぬま福祉会 工房集,,,,,,,112038,,埼玉県川口市木曽呂1445,埼玉県,川口市,,,,35.861942,139.715103,,,,,,,,,,,,,,,障がいのある方々が、個々が生き生きと 好きなことを仕事として創作活動できる素敵な「場所」,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/kobo-syu/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,26,アート資源,令和4年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E5%8F%A3%E5%B8%82%E6%9C%A8%E6%9B%BD%E5%91%821445,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0027,埼玉県さいたま市,takase,,,,,,,111091,,埼玉県さいたま市緑区宮本2-19-14,埼玉県,さいたま市緑区,,,,35.888115,139.693604,,,,,,,,,,,,,,,“もの”を通して“何か”をつたえるshop&gallery,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/takase/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,27,アート資源,令和4年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E7%B7%91%E5%8C%BA%E5%AE%AE%E6%9C%AC2-19-14,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0028,埼玉県さいたま市,モッキンカン 木の森美術館 しまずよしのり,,,,,,,111082,,埼玉県さいたま市南区大谷口593,埼玉県,さいたま市南区,,,,35.864487,139.674774,,,,,,,,,,,,,,,不思議な森の世界に導かれる住宅街の美術館,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/mokkinkan/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,28,アート資源,令和4年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E5%A4%A7%E8%B0%B7%E5%8F%A3593,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0029,埼玉県さいたま市,柳沢画廊,,,,,,,111074,,埼玉県さいたま市浦和区高砂2-14-16,埼玉県,さいたま市浦和区,,,,35.859219,139.653595,,,,,,,,,,,,,,,柳沢画廊のこだわりは、価値ある作品を、責任をもって販売していること,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/yanagisawagallery/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,29,アート資源,令和4年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E9%AB%98%E7%A0%822-14-16,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,一致,node,5854321085,柳沢画廊,https://www.openstreetmap.org/node/5854321085,8,shop=art,,,,,,,2018-08-24T17:51:33Z,2026-08-02,名称が一致し、座標も近接（8m）
111007,ACS0030,埼玉県さいたま市,ラルゴ（Largo）,,,,,,,111058,,埼玉県さいたま市中央区鈴谷２丁目725-1ソレイユ南与野1F,埼玉県,さいたま市中央区,,,,35.868607,139.627396,,,,,,,,,,,,,,,ゆるやかに、繋がり、時が流れてゆく、絵画と音楽の両方を楽しめるギャラリー・カフェ,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/largo/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,30,アート資源,令和4年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%88%B4%E8%B0%B7%EF%BC%92%E4%B8%81%E7%9B%AE725-1%E3%82%BD%E3%83%AC%E3%82%A4%E3%83%A6%E5%8D%97%E4%B8%8E%E9%87%8E1F,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0031,埼玉県さいたま市,GAFU -gallery & space-,,,,,,,111082,,埼玉県さいたま市南区別所3-21-4,埼玉県,さいたま市南区,,,,35.852104,139.646393,,,,,,,,,,,,,,,"""GAFU（画布）""であなたの想いを実現へ",,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/gafu-gallery-space/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,31,アート資源,令和5年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E5%88%A5%E6%89%803-21-4,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,推定一致,node,13483132616,GAFU,https://www.openstreetmap.org/node/13483132616,19,tourism=gallery,,,,,,,2026-01-25T06:30:13Z,2026-08-02,主要名「GAFU」が一致し、座標も近接（19m）
111007,ACS0032,埼玉県さいたま市,コンドウハウス,,,,,,,111091,,埼玉県さいたま市緑区三室680-1,埼玉県,さいたま市緑区,,,,35.891655,139.671524,,,,,,,,,,,,,,,『コミュニティ』の中で生きるための『みんなの居場所』づくり,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/kondohouse-kon-kitchen/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,32,アート資源,令和5年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E7%B7%91%E5%8C%BA%E4%B8%89%E5%AE%A4680-1,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,一致,node,11905910767,コンドウハウス,https://www.openstreetmap.org/node/11905910767,59,amenity=community_centre,,,,https://www.sumaikata.org/kondohouse,,,2024-05-15T06:15:33Z,2026-08-02,名称が一致し、ウェブサイト付きPOIを採用（59m）
111007,ACS0033,埼玉県さいたま市,TOROto,,,,,,,111023,,埼玉県さいたま市北区土呂町2-12-20 コスモスクエア４階,埼玉県,さいたま市北区,,,,35.932587,139.632996,,,,,,,,,,,,,,,コスモ薬局が地域に開く、食・健康・医療をテーマにしたリビングのような空間,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/toroto/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,33,アート資源,令和5年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8C%97%E5%8C%BA%E5%9C%9F%E5%91%82%E7%94%BA2-12-20%20%E3%82%B3%E3%82%B9%E3%83%A2%E3%82%B9%E3%82%AF%E3%82%A8%E3%82%A2%EF%BC%94%E9%9A%8E,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0034,埼玉県さいたま市,CHICACU BookStore（移転）→本と喫茶 夢中飛行,,,,,,,111031,,埼玉県さいたま市大宮区高鼻町1-56 NRK大宮2F,埼玉県,さいたま市大宮区,,,,35.913284,139.629379,,,,,,,,,,,,,,,夢に一歩近づく後押しをしてくれる、わたしたちの隠れ家的本屋さん,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/muchu-hiko/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,34,アート資源,令和5年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E9%AB%98%E9%BC%BB%E7%94%BA1-56%20NRK%E5%A4%A7%E5%AE%AE2F,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0035,埼玉県さいたま市,師岡制作所,,,,,,,111040,,埼玉県さいたま市見沼区大字膝子345-6,埼玉県,さいたま市見沼区,,,,35.917713,139.689545,,,,,,,,,,,,,,,『アーティストランスペース』本物のアートに触れてもらう場所,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/morooka-seisakujo/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,35,アート資源,令和5年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E8%A6%8B%E6%B2%BC%E5%8C%BA%E5%A4%A7%E5%AD%97%E8%86%9D%E5%AD%90345-6,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0036,埼玉県さいたま市,コバルト画房,,,,,,,111074,,埼玉県さいたま市浦和区仲町 2-16-15,埼玉県,さいたま市浦和区,,,,35.859146,139.650421,,,,,,,,,,,,,,,戦後まもなくから続く老舗の画材販売店,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/cobalt/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,36,アート資源,令和6年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E4%BB%B2%E7%94%BA%202-16-15,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,推定一致,node,6625378220,Cobalt,https://www.openstreetmap.org/node/6625378220,9,shop=craft,,,,,,,2019-07-18T03:10:47Z,2026-08-02,英字名「Cobalt」と業種・座標から推定（9m）
111007,ACS0038,埼玉県さいたま市,Nook&Park （ヌックパーク）,,,,,,,111104,,埼玉県さいたま市岩槻区本町3-10-17,埼玉県,さいたま市岩槻区,,,,35.949524,139.695068,,,,,,,,,,,,,,,親と子が健やかに成長する場づくり,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/nookpark/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,38,アート資源,令和6年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%B2%A9%E6%A7%BB%E5%8C%BA%E6%9C%AC%E7%94%BA3-10-17,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0039,埼玉県さいたま市,ｍárú（マールーウ）,,,,,,,111031,,埼玉県さいたま市大宮区北袋町1-236,埼玉県,さいたま市大宮区,,,,35.89156,139.641754,,,,,,,,,,,,,,,地元食材たっぷりの美味しいごはんと、秘密の花園のような四季折々のガーデンが、アーティスティック！,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/maru/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,39,アート資源,令和6年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E5%8C%97%E8%A2%8B%E7%94%BA1-236,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,該当なし,,,,,,,,,,,,,,2026-08-02,座標350m以内に同名・有力類似名なし
111007,ACS0043,埼玉県さいたま市,大西屋酒店（MATCHBOX）,,,,,,,111031,,埼玉県さいたま市大宮区大門町3丁目207,埼玉県,さいたま市大宮区,,,,35.909267,139.629181,,,,,,,,,,,,,,,シドニーで生まれたOhnisiya World,,,,,,,,,,,,,,,,,,https://artscouncil-saitama.jp/library/survey/ohnisiya/,,,アーツカウンシルさいたま「アート資源調査」掲載施設。URLは同調査の紹介記事。,43,アート資源,令和7年度,調査済みリスト掲載,2026-08-02,国土地理院 住所検索API,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E5%A4%A7%E9%96%80%E7%94%BA3%E4%B8%81%E7%9B%AE207,公益財団法人さいたま市文化振興事業団 アーツカウンシルさいたま,推定一致,node,10589573099,大西屋,https://www.openstreetmap.org/node/10589573099,30,shop=alcohol,,,,,,,2023-01-28T19:02:29Z,2026-08-02,主要名「大西屋」と酒販店分類・座標から推定（30m）
